Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-06;15:50;Dublin;RYANAIR;FR 1909;;"GDN"
2025-04-06;16:05;Oslo gardermoen;WIZZ AIR;W6 1783;;"GDN"
2025-04-06;16:50;Mediolan bergamo;RYANAIR;FR 3279;;"GDN"
2025-04-06;16:50;Reykjavik keflavik;WIZZ AIR;W6 1773;;"GDN"
2025-04-06;16:55;Monachium;LUFTHANSA;LH 1645;;"GDN"
2025-04-06;17:15;Skelleftea;RYANAIR;FR 8588;;"GDN"
2025-04-06;18:20;Warszawa;LOT;LO3816;;"GDN"
2025-04-06;18:25;Londyn stansted;RYANAIR;FR 532;;"GDN"
2025-04-06;18:25;Amsterdam;KLM;KL 1308;;"GDN"
2025-04-06;18:30;Barcelona el prat;WIZZ AIR;W6 1705;;"GDN"
2025-04-06;18:50;Praga;RYANAIR;FR 1920;;"GDN"
2025-04-06;19:15;Londyn luton;WIZZ AIR;W6 1607;;"GDN"
2025-04-06;19:20;Mediolan malpensa;WIZZ AIR;W6 1713;;"GDN"
2025-04-06;19:25;Helsinki;FINNAIR;AY 1174;;"GDN"
2025-04-06;19:25;Zurych;;LX 1381;;"GDN"
2025-04-06;19:25;Kopenhaga;SAS;SK 758;;"GDN"
2025-04-06;20:20;Sztokholm arlanda;WIZZ AIR;W6 1733;;"GDN"
2025-04-06;20:20;Goteborg;WIZZ AIR;W6 1735;;"GDN"
2025-04-06;20:30;Sztokholm arlanda;RYANAIR;FR 4679;;"GDN"
2025-04-06;21:25;Warszawa;LOT;LO3826;;"GDN"
2025-04-06;21:50;Goteborg;RYANAIR;FR 6095;;"GDN"
2025-04-06;22:35;Oslo gardermoen;Norwegian;DY 1057;;"GDN"
2025-04-07;05:40;Warszawa;LOT;LO3828;;"GDN"
2025-04-07;05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
2025-04-07;05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
2025-04-07;06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
2025-04-07;06:00;Kopenhaga;SAS;SK 1758;;"GDN"
2025-04-07;06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
2025-04-07;06:05;Bergen;WIZZ AIR;W6 1757;;"GDN"
2025-04-07;06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
2025-04-07;06:15;Wenecja treviso;RYANAIR;FR 1969;;"GDN"
