Czas;Kierunek;Rejs;;Lotnisko wylotowe
21:30;OSLO GARDERMOEN (OSL);DY 1043;;"KRK"
21:30;WARSZAWA (WAW);LO 3922;;"KRK"
21:35;WILNO (VNO);BT 920;;"KRK"
21:35;DUBLIN (DUB);FR 1902;;"KRK"
21:45;GLASGOW (GLA);LS 114;;"KRK"
21:50;LONDYN GATWICK (LGW);EZY 8824;;"KRK"
22:00;LONDYN STANSTED (STN);FR 2363;;"KRK"
23:50;SHARJAH (SHJ);G9 966;;"KRK"
05:30;BARCELONA (BCN);W6 2047;;"KRK"
05:40;WARSZAWA (WAW);LO 3910;;"KRK"
05:40;TEL AVIV (TLV);W6 2097;;"KRK"
05:50;PALMA DE MALLORCA (PMI);FR 4512;;"KRK"
05:50;OSLO TORP (TRF);FR 6216;;"KRK"
05:55;MANCHESTER (MAN);FR 2142;;"KRK"
